,steel,shape,bore,carbon,hardness,strength,len,thick,width,classes
439,M,COIL,0,0.0,0,350,0,1.4,1310.0,2
440,R,SHEET,0,0.0,0,0,762,0.8,610.0,1
441,R,COIL,600,0.0,0,0,0,4.0,610.0,2
442,A,SHEET,0,0.0,0,0,762,0.5,610.0,3
443,A,COIL,600,0.0,60,0,0,2.8,610.0,2
444,A,COIL,0,0.0,0,0,0,0.799,1300.0,2
445,R,SHEET,0,0.0,0,0,612,1.6,1500.0,1
446,R,SHEET,0,0.0,0,0,4170,1.2,609.9,2
447,A,COIL,0,0.0,0,0,0,3.201,152.0,2
448,A,SHEET,0,0.0,0,0,4880,0.601,1320.0,2
449,A,SHEET,0,0.0,0,0,4880,0.4,1320.0,2
450,R,SHEET,0,0.0,0,0,762,0.7,610.0,2
451,A,SHEET,0,0.0,0,0,762,1.0,1320.0,2
452,A,SHEET,0,0.0,80,0,612,1.6,1320.0,4
453,A,COIL,0,0.0,0,500,0,1.6,1525.0,2
454,R,SHEET,0,0.0,0,0,4170,2.0,610.0,1
455,,COIL,0,0.0,0,0,0,0.799,20.0,2
456,R,SHEET,0,0.0,0,0,762,0.8,1300.0,1
457,A,SHEET,0,0.0,0,0,300,0.6,610.0,3
458,,COIL,0,0.0,0,0,0,1.6,610.0,3
459,A,SHEET,0,0.0,0,0,762,0.6990000000000001,1320.0,2
460,A,COIL,600,0.0,70,0,0,2.5,610.0,2
461,A,COIL,0,0.0,50,0,0,0.451,20.0,2
462,R,SHEET,0,0.0,0,0,4170,0.8,1500.0,1
463,R,SHEET,0,0.0,0,0,761,0.6990000000000001,1320.0,2
464,A,SHEET,0,0.0,0,0,4880,3.201,1320.0,2
465,A,SHEET,0,0.0,0,0,762,0.6,300.1,2
466,A,COIL,0,4.0,0,0,0,0.5,25.0,2
467,R,COIL,600,0.0,0,0,0,3.5,1000.0,2
468,A,SHEET,0,0.0,0,0,4880,0.6,609.9,2
469,A,COIL,0,0.0,70,0,0,0.8,50.0,2
470,R,COIL,0,0.0,0,0,0,1.6,1320.0,2
471,,COIL,0,0.0,0,0,0,0.3,609.9,2
472,R,SHEET,0,0.0,0,0,612,1.6,609.9,2
473,A,SHEET,0,0.0,0,0,4170,0.6,610.0,2
474,A,COIL,0,0.0,50,0,0,3.2,610.0,2
475,A,COIL,0,0.0,70,0,0,0.6,610.0,2
476,A,COIL,0,0.0,45,0,0,0.7,1320.0,2
477,A,COIL,0,0.0,60,0,0,4.0,385.1,2
478,A,COIL,600,0.0,70,0,0,0.6,1320.0,2
479,K,COIL,0,45.0,0,0,0,2.2,640.0,2
480,A,COIL,0,0.0,0,0,0,0.6990000000000001,20.0,2
481,A,COIL,0,0.0,0,0,0,0.6990000000000001,1320.0,2
482,A,SHEET,0,0.0,0,0,614,1.2,609.9,2
483,A,SHEET,0,0.0,0,0,4880,1.0,1320.0,2
484,A,COIL,0,0.0,0,0,0,1.2,609.9,3
485,K,COIL,0,65.0,0,0,0,1.0,610.0,2
486,K,COIL,0,55.0,0,0,0,1.5,900.0,2
487,K,COIL,0,45.0,0,0,0,3.2,900.0,2
488,A,SHEET,0,0.0,0,0,762,0.6990000000000001,610.0,2
489,R,COIL,0,0.0,0,0,0,0.6990000000000001,609.9,2
490,A,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
491,R,SHEET,0,0.0,0,0,762,0.3,1320.0,2
492,W,SHEET,0,0.0,0,310,4880,2.501,1275.0,2
493,A,SHEET,0,0.0,85,0,762,1.0,1220.0,4
494,A,SHEET,0,0.0,45,0,759,0.7,610.0,2
495,A,SHEET,0,0.0,45,0,3000,0.7,609.9,2
496,A,SHEET,0,0.0,85,0,4880,3.2,200.1,4
497,A,COIL,0,0.0,0,0,0,0.4,609.9,2
498,A,SHEET,0,0.0,0,0,3000,0.6,335.0,3
499,A,SHEET,0,0.0,50,0,4880,0.6,1250.0,2
500,R,SHEET,0,0.0,0,0,762,0.7,1300.0,2
501,A,SHEET,0,0.0,0,0,612,0.6,610.0,3
502,R,SHEET,0,0.0,0,0,4880,3.2,610.0,2
503,,SHEET,0,0.0,0,0,762,0.3,610.0,2
504,A,COIL,0,0.0,0,0,0,0.6,609.0,2
505,A,SHEET,0,0.0,85,0,150,1.2,1200.0,4
506,A,COIL,0,0.0,85,0,0,1.2,609.9,4
507,A,SHEET,0,0.0,0,0,4170,0.7,609.9,2
508,R,SHEET,0,0.0,0,0,4880,1.599,1300.0,1
509,A,COIL,0,0.0,0,0,0,0.6990000000000001,20.0,2
510,R,COIL,0,0.0,0,0,0,0.6990000000000001,1320.0,2
511,,SHEET,0,0.0,0,0,762,0.3,1300.0,2
512,R,SHEET,0,0.0,0,0,4170,1.2,1320.0,2
513,A,SHEET,0,0.0,0,0,4880,0.6,520.0,2
514,A,COIL,0,0.0,0,0,0,0.3,610.0,2
515,A,SHEET,0,0.0,0,0,4880,0.6,610.0,2
516,A,SHEET,0,0.0,0,0,762,0.7,610.0,2
517,A,SHEET,0,0.0,0,0,4880,0.601,610.0,2
518,,SHEET,0,0.0,0,0,762,1.6,610.0,3
519,A,COIL,0,0.0,0,0,0,0.6,609.9,2
520,A,SHEET,0,0.0,45,0,762,0.3,519.9,2
521,R,COIL,0,0.0,0,0,0,1.0,75.0,2
522,K,COIL,500,55.0,0,0,0,2.3,900.0,2
523,A,SHEET,0,0.0,0,0,4880,0.3,610.0,2
524,A,SHEET,0,0.0,60,0,762,0.8,356.1,2
525,R,SHEET,0,0.0,0,0,4880,0.8,1300.0,1
526,A,COIL,0,0.0,85,0,0,3.201,190.0,4
527,W,COIL,0,0.0,0,310,0,2.501,600.1,2
528,A,SHEET,0,0.0,0,0,762,0.9990000000000001,610.0,2
529,A,COIL,0,0.0,0,0,0,1.2,609.9,3
530,A,COIL,0,0.0,60,0,0,0.799,609.9,2
531,R,SHEET,0,0.0,0,0,150,0.6990000000000001,610.0,2
532,V,COIL,0,0.0,0,0,0,0.7,1320.0,2
533,K,COIL,0,45.0,0,0,0,1.5,640.0,2
534,A,COIL,0,0.0,0,500,0,1.6,610.0,2
535,R,SHEET,0,0.0,0,0,762,3.2,1320.0,2
536,,SHEET,0,0.0,0,0,4120,0.301,500.0,2
537,K,COIL,0,45.0,0,0,0,3.2,900.0,2
538,,SHEET,0,0.0,45,0,762,0.7,1320.0,2
539,R,SHEET,0,0.0,0,0,4170,2.0,610.0,1
540,K,COIL,0,65.0,0,0,0,1.0,610.0,2
541,K,COIL,500,65.0,0,0,0,2.3,640.0,2
542,R,SHEET,0,0.0,0,0,612,1.6,610.0,1
543,R,SHEET,0,0.0,0,0,762,0.8,610.0,1
544,A,SHEET,0,0.0,0,0,762,0.6,520.0,2
545,A,COIL,0,0.0,0,0,0,0.8,609.9,2
546,A,COIL,0,0.0,0,0,0,1.6,600.1,3
547,V,SHEET,0,0.0,0,0,4880,0.8,1320.0,1
548,R,SHEET,0,0.0,0,0,762,1.601,610.0,2
549,R,SHEET,0,0.0,0,0,762,0.7,1320.0,2
550,A,SHEET,0,0.0,0,0,612,1.6,1220.0,3
551,A,SHEET,0,0.0,45,0,4880,0.6990000000000001,610.0,2
552,A,SHEET,0,0.0,0,0,762,0.6,609.9,2
553,A,COIL,0,0.0,0,0,0,0.7,20.0,2
554,R,COIL,0,0.0,0,0,0,0.8,1320.0,1
555,R,COIL,0,0.0,0,0,0,0.8,609.9,2
556,A,COIL,0,0.0,0,0,0,0.601,610.0,2
557,R,SHEET,0,0.0,0,0,762,0.8,610.0,1
558,W,SHEET,0,0.0,0,310,762,1.599,1275.0,2
559,,SHEET,0,0.0,0,0,4170,0.4,1220.0,2
560,A,COIL,0,0.0,0,0,0,0.799,20.0,2
561,K,COIL,0,45.0,0,0,0,1.5,640.0,2
562,R,SHEET,0,6.0,0,0,762,1.0,1320.0,2
563,R,SHEET,0,0.0,0,0,762,1.599,610.0,2
564,K,COIL,600,45.0,0,0,0,3.2,900.0,2
565,A,COIL,0,0.0,0,0,0,0.301,610.0,2
566,A,SHEET,0,0.0,0,0,1,0.6,609.9,3
567,A,SHEET,0,0.0,0,0,612,0.7,609.9,2
568,A,COIL,0,0.0,50,0,0,0.3,1250.0,2
569,A,COIL,0,0.0,50,0,0,0.3,610.0,2
570,,SHEET,0,0.0,0,500,301,2.0,300.1,1
571,R,SHEET,0,0.0,0,0,762,1.599,1300.0,2
572,A,SHEET,0,0.0,0,0,4880,0.7,610.0,2
573,A,COIL,0,0.0,0,0,0,1.2,599.9,2
574,A,SHEET,0,0.0,60,0,4880,0.8,356.1,2
575,R,SHEET,0,0.0,0,0,4880,1.601,610.0,2
576,A,SHEET,0,0.0,85,0,611,0.4,600.0,4
577,R,COIL,0,0.0,0,0,0,0.601,610.0,2
578,A,COIL,0,0.0,0,0,0,0.6990000000000001,20.0,2
579,A,SHEET,0,0.0,0,0,762,1.2,610.0,2
580,A,COIL,0,0.0,0,0,0,0.6,610.0,2
581,A,SHEET,0,0.0,60,0,762,0.8009999999999999,356.0,2
582,W,SHEET,0,0.0,0,310,762,2.5,610.0,2
583,R,SHEET,0,0.0,0,0,612,0.6990000000000001,609.0,2
584,,COIL,0,0.0,0,0,0,3.2,610.0,2
585,,SHEET,0,0.0,0,500,301,2.0,300.1,1
586,A,COIL,0,0.0,0,0,0,1.0,1320.0,2
587,,SHEET,0,0.0,0,500,762,1.6,610.0,1
588,A,SHEET,0,0.0,0,0,301,0.6,1320.0,2
589,A,COIL,0,0.0,0,0,0,3.2,609.9,2
590,A,COIL,0,0.0,45,0,0,0.7,610.0,2
591,A,COIL,0,0.0,85,0,0,1.001,609.9,4
592,A,SHEET,0,0.0,0,0,762,0.6990000000000001,519.0,2
593,K,COIL,0,65.0,0,0,0,3.0,65.1,2
594,R,SHEET,0,0.0,0,0,4170,1.599,610.0,2
595,A,SHEET,0,0.0,0,0,4880,0.7,609.9,2
596,,COIL,0,0.0,50,0,0,0.6,610.0,2
597,A,SHEET,0,0.0,0,0,762,0.7,1320.0,2
598,R,SHEET,0,0.0,0,0,761,0.8,1320.0,1
599,K,COIL,0,45.0,0,0,0,0.6,610.0,2
600,R,COIL,0,0.0,0,0,0,0.7,1220.0,2
601,A,SHEET,0,0.0,0,0,762,0.6,520.0,2
602,A,SHEET,0,0.0,45,0,762,0.3,1320.0,2
603,A,SHEET,0,0.0,0,0,762,0.4,1320.0,2
604,,SHEET,0,0.0,0,0,4880,0.5,1220.0,3
605,A,COIL,0,0.0,0,0,0,3.201,0.0,2
606,R,COIL,0,0.0,0,0,0,0.6990000000000001,1250.0,2
607,K,COIL,600,55.0,0,0,0,3.2,640.0,2
608,,COIL,0,0.0,0,0,0,0.8,50.0,3
609,A,SHEET,0,0.0,0,0,762,1.0,610.0,2
610,A,COIL,0,0.0,0,0,0,1.6,609.9,3
611,A,COIL,0,0.0,60,0,0,0.799,20.0,2
612,R,COIL,0,0.0,0,0,0,0.601,610.0,2
613,,SHEET,0,0.0,0,0,762,0.3,1320.0,2
614,A,COIL,0,0.0,85,0,0,0.4,609.9,4
615,R,SHEET,0,0.0,0,0,762,0.7,610.0,2
616,A,SHEET,0,0.0,0,0,761,0.6,610.0,2
617,A,COIL,0,0.0,0,0,0,0.6990000000000001,609.9,2
618,A,COIL,0,0.0,80,0,0,0.5,28.0,2
619,A,SHEET,0,0.0,0,0,4170,0.7,610.0,2
620,A,SHEET,0,0.0,45,0,761,0.4,1220.0,2
621,R,SHEET,0,0.0,0,0,150,0.4,610.0,2
622,R,SHEET,0,0.0,0,0,762,3.2,610.0,2
623,,SHEET,0,0.0,0,0,761,0.3,610.0,2
624,A,COIL,600,0.0,85,0,0,4.0,1000.0,4
625,R,SHEET,0,6.0,0,0,4880,1.0,610.0,2
626,A,SHEET,0,0.0,45,0,4880,1.6,610.0,2
627,R,SHEET,0,0.0,0,0,762,0.8,609.9,1
628,A,COIL,0,0.0,50,0,0,0.601,610.0,2
629,R,SHEET,0,0.0,0,0,762,0.6990000000000001,1320.0,2
630,A,COIL,0,0.0,60,0,0,4.0,50.0,2
631,W,SHEET,0,0.0,0,310,762,2.5,1274.9,2
632,R,SHEET,0,0.0,0,0,762,1.599,150.0,1
633,W,COIL,0,0.0,0,310,0,0.8,609.9,2
634,A,SHEET,0,0.0,0,0,4880,0.6,609.9,2
635,A,SHEET,0,0.0,45,0,759,1.6,1320.0,2
636,R,SHEET,0,0.0,0,0,881,1.601,830.0,1
637,A,COIL,0,0.0,0,0,0,1.6,60.0,2
638,A,COIL,600,0.0,70,0,0,0.8009999999999999,1320.0,2
639,R,COIL,0,0.0,0,0,0,1.599,610.0,1
640,,SHEET,0,0.0,0,0,4170,0.3,1220.0,2
641,R,SHEET,0,0.0,0,0,4880,1.601,150.0,2
642,A,COIL,500,0.0,60,0,0,1.001,1320.0,2
643,A,SHEET,0,0.0,45,0,4880,0.6990000000000001,1320.0,2
644,A,SHEET,0,0.0,0,0,762,0.3,1320.0,2
645,M,SHEET,0,0.0,0,600,1220,1.2990000000000002,1050.0,1
646,A,SHEET,0,0.0,0,0,4880,0.6,300.1,2
647,A,SHEET,0,0.0,0,0,762,0.6,1220.0,3
648,R,SHEET,0,0.0,0,0,761,0.6990000000000001,610.0,2
649,,SHEET,0,0.0,0,0,612,0.6990000000000001,610.0,2
650,R,SHEET,0,0.0,0,0,762,1.6,609.9,2
651,A,SHEET,0,0.0,45,0,4880,0.6990000000000001,1320.0,2
652,A,COIL,0,0.0,0,0,0,1.2,610.0,2
653,W,SHEET,0,0.0,0,310,762,0.8,1275.0,2
654,R,SHEET,0,0.0,0,0,611,1.2,1320.0,2
655,R,SHEET,0,0.0,0,0,1,0.8,610.0,1
656,A,SHEET,0,0.0,60,0,270,0.8,255.0,2
657,A,COIL,0,8.0,0,0,0,0.6990000000000001,20.0,2
658,A,SHEET,0,0.0,0,0,0,0.6,520.0,2
659,A,SHEET,0,0.0,45,0,300,0.4,610.0,2
660,A,COIL,0,0.0,45,0,0,0.4,610.0,2
661,M,SHEET,0,0.0,0,600,3000,0.9,610.0,1
662,A,COIL,600,0.0,60,0,0,2.801,610.0,2
663,K,COIL,600,55.0,0,0,0,2.3,900.0,2
664,R,SHEET,0,6.0,0,0,4880,0.6,1320.0,2
665,A,SHEET,0,0.0,0,0,4880,1.6,610.0,3
666,R,SHEET,0,0.0,0,0,4170,1.2,610.0,2
667,A,SHEET,0,0.0,0,0,4880,1.599,1320.0,2
668,,SHEET,0,0.0,0,0,762,0.3,374.9,2
669,A,COIL,0,0.0,0,0,0,0.6,609.9,3
670,A,SHEET,0,0.0,50,0,4880,0.6,1250.0,2
671,,COIL,0,0.0,0,0,0,0.4,609.9,2
672,R,SHEET,0,0.0,0,0,4880,0.6990000000000001,610.0,2
673,,COIL,0,0.0,70,0,0,0.799,609.9,2
674,A,SHEET,0,0.0,0,0,762,0.6990000000000001,519.9,2
675,R,SHEET,0,0.0,0,0,762,0.8,610.0,1
676,A,SHEET,0,0.0,50,0,4880,0.601,1250.0,2
677,R,COIL,0,0.0,0,0,0,0.4,610.0,2
678,,COIL,0,0.0,0,0,0,0.3,1320.0,2
679,A,COIL,0,0.0,85,0,0,1.0,20.0,4
680,A,COIL,0,0.0,0,0,0,1.6,610.0,3
681,M,SHEET,0,0.0,0,600,4880,2.0,1320.0,1
682,A,SHEET,0,0.0,45,0,760,0.6990000000000001,1320.0,2
683,K,COIL,600,55.0,0,0,0,2.3,640.0,2
684,,COIL,0,0.0,0,0,0,3.2,1320.0,2
685,,COIL,0,0.0,50,0,0,1.2009999999999998,610.0,2
686,A,SHEET,0,0.0,0,0,4880,0.3,1320.0,2
687,R,SHEET,0,0.0,0,0,762,0.6990000000000001,609.9,2
688,R,SHEET,0,0.0,0,0,4880,0.8,610.0,1
689,A,COIL,0,0.0,0,0,0,0.7,609.9,2
690,R,SHEET,0,0.0,0,0,761,0.4,1320.0,2
691,R,COIL,0,0.0,0,0,0,1.6,610.0,1
692,A,SHEET,0,0.0,0,0,761,1.6,1220.0,3
693,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,1220.0,2
694,R,SHEET,0,0.0,0,0,4170,1.599,1525.0,1
695,A,COIL,0,0.0,0,0,0,1.6,610.0,2
696,R,COIL,0,6.0,0,0,0,0.5,610.0,2
697,A,COIL,0,0.0,0,0,0,0.3,610.0,2
698,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,610.0,2
699,A,COIL,0,0.0,0,0,0,0.6,609.9,3
700,R,COIL,0,0.0,0,0,0,0.3,610.0,2
701,A,COIL,600,0.0,60,0,0,0.8009999999999999,1320.0,2
702,A,SHEET,0,0.0,0,0,762,1.6,610.0,3
703,A,SHEET,0,0.0,50,0,762,0.451,610.0,2
704,,COIL,0,0.0,50,0,0,0.601,610.0,2
705,A,COIL,0,0.0,0,0,0,0.6,609.9,3
706,R,SHEET,0,0.0,0,0,762,1.599,1320.0,1
707,A,SHEET,0,0.0,0,0,612,1.6,335.0,3
708,A,SHEET,0,0.0,45,0,761,0.3,610.0,2
709,A,SHEET,0,0.0,0,0,762,0.3,610.0,2
710,R,SHEET,0,0.0,0,0,150,0.4,1320.0,2
711,A,COIL,0,0.0,0,500,0,0.9,1320.0,2
712,A,COIL,0,0.0,70,0,0,0.8,610.0,2
713,R,COIL,0,0.0,0,0,0,0.8,609.9,1
714,,COIL,0,0.0,70,0,0,0.799,609.0,2
715,R,COIL,0,0.0,0,0,0,0.6990000000000001,609.9,2
716,A,SHEET,0,0.0,0,0,762,1.6,150.0,2
717,A,COIL,0,0.0,45,0,0,0.7,1320.0,2
718,A,SHEET,0,0.0,50,0,762,0.4,1220.0,2
719,A,COIL,0,0.0,85,0,0,0.321,1220.0,4
720,W,SHEET,0,0.0,0,310,4880,1.6,1274.9,2
721,A,SHEET,0,0.0,45,0,4880,0.7,610.0,2
722,A,COIL,0,0.0,0,0,0,1.6,606.9,2
723,R,SHEET,0,0.0,0,0,762,0.7,609.9,2
724,A,COIL,0,0.0,45,0,0,0.6990000000000001,610.0,2
725,R,COIL,0,0.0,0,0,0,0.8,20.0,1
726,K,COIL,0,55.0,0,0,0,1.0,900.0,2
727,,SHEET,0,0.0,0,500,4880,2.0,609.9,1
728,R,SHEET,0,0.0,0,0,612,1.2,150.0,2
729,A,COIL,0,0.0,60,0,0,0.6,610.0,2
730,A,SHEET,0,0.0,85,0,4880,1.2,1220.0,4
731,S,SHEET,0,70.0,0,0,762,1.6,1320.0,2
732,,COIL,0,0.0,50,0,0,1.2009999999999998,1320.0,2
733,R,SHEET,0,0.0,0,0,612,1.6,1525.0,1
734,A,SHEET,0,0.0,45,0,4880,0.3,150.0,2
735,A,SHEET,0,0.0,0,0,1,0.6,335.0,3
736,A,SHEET,0,0.0,0,0,762,1.601,1300.0,2
737,R,SHEET,0,0.0,0,0,762,0.3,1320.0,2
738,R,SHEET,0,0.0,0,0,4880,0.6,609.0,2
739,R,COIL,0,0.0,0,0,0,0.7,1220.0,2
740,R,COIL,0,0.0,0,0,0,1.599,609.9,1
741,,SHEET,0,0.0,0,0,4880,0.3,595.0,2
742,R,SHEET,0,0.0,0,0,4880,0.7,1320.0,2
743,R,COIL,0,0.0,0,0,0,1.6,610.0,2
744,R,COIL,0,0.0,0,0,0,0.8,75.0,2
745,V,COIL,0,0.0,0,0,0,0.8,609.9,2
746,R,SHEET,0,0.0,0,0,612,0.7,150.0,2
747,R,SHEET,0,0.0,0,0,762,0.7,150.0,2
748,A,SHEET,0,0.0,0,0,762,1.6,1220.0,3
749,,COIL,600,0.0,70,0,0,2.801,1000.0,2
750,R,COIL,0,0.0,0,0,0,0.6,1320.0,2
751,A,COIL,0,0.0,70,0,0,0.6,610.0,2
752,S,SHEET,0,70.0,0,0,4880,2.5,610.0,2
753,A,SHEET,0,0.0,0,0,4170,1.2,609.9,2
754,R,SHEET,0,0.0,0,0,762,0.7,609.9,2
755,R,SHEET,0,0.0,0,0,762,1.599,610.0,2
756,R,SHEET,0,0.0,0,0,612,0.601,609.9,2
757,R,SHEET,0,0.0,0,0,4880,0.6990000000000001,1320.0,2
758,R,SHEET,0,0.0,0,0,4170,1.2,610.0,2
759,R,COIL,0,0.0,0,0,0,0.4,610.0,2
760,A,SHEET,0,0.0,45,0,4880,0.7,610.0,2
761,A,SHEET,0,0.0,0,0,762,0.7,1220.0,2
762,R,COIL,0,0.0,0,0,0,0.4,609.9,2
763,A,SHEET,0,0.0,0,0,4170,0.7,1300.0,2
764,A,COIL,0,0.0,0,0,0,0.8,50.0,3
765,K,COIL,0,65.0,0,0,0,1.1,610.0,2
766,R,SHEET,0,0.0,0,0,4170,2.0,1500.0,1
767,R,COIL,0,0.0,0,0,0,0.7,610.0,2
768,W,COIL,600,0.0,0,310,0,2.5,610.0,2
769,R,SHEET,0,0.0,0,0,4170,1.2,609.9,2
770,A,SHEET,0,0.0,0,0,611,0.6,335.0,3
771,R,SHEET,0,0.0,0,0,4880,3.2,1300.0,2
772,A,SHEET,0,0.0,0,0,4880,0.6,610.0,2
773,A,SHEET,0,0.0,0,0,4880,0.7,610.0,2
774,A,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
775,,SHEET,0,0.0,0,0,4880,0.6990000000000001,374.9,2
776,R,SHEET,0,0.0,0,0,4880,1.599,1320.0,1
777,A,SHEET,0,0.0,0,0,4880,0.3,610.0,2
778,A,SHEET,0,0.0,0,0,762,0.4,610.0,2
779,R,SHEET,0,0.0,0,0,612,0.6990000000000001,375.0,2
780,,COIL,0,0.0,0,0,0,0.3,20.0,2
781,A,COIL,0,0.0,0,0,0,0.4,610.0,2
782,A,SHEET,0,0.0,45,0,4880,1.6,610.0,2
783,R,SHEET,0,0.0,0,0,4880,1.601,1320.0,2
784,A,COIL,0,0.0,0,0,0,3.201,609.9,2
785,K,COIL,600,45.0,0,0,0,2.3,900.0,2
786,R,SHEET,0,0.0,0,0,762,3.2,150.0,2
787,V,SHEET,0,0.0,0,0,4880,0.8,610.0,1
788,,COIL,0,0.0,0,0,0,0.8,250.0,3
789,R,SHEET,0,0.0,0,0,4880,3.2,1300.0,2
790,K,COIL,600,55.0,0,0,0,3.2,900.0,2
791,R,COIL,0,0.0,0,0,0,0.9,966.0,2
792,A,COIL,0,0.0,50,0,0,1.001,50.0,2
793,,SHEET,0,0.0,0,0,4880,0.6990000000000001,1300.0,2
794,A,COIL,0,0.0,0,0,0,0.4,609.9,2
795,A,SHEET,0,0.0,0,0,4880,3.2,610.0,2
796,R,SHEET,0,0.0,0,0,4170,1.599,1500.0,1
0,A,COIL,0,0.0,0,0,0,0.6990000000000001,609.9,2
1,A,SHEET,0,0.0,0,0,762,0.4,610.0,4
2,A,COIL,0,0.0,0,0,0,0.4,610.0,2
3,A,COIL,0,0.0,0,0,0,0.6990000000000001,1320.0,2
4,,COIL,0,0.0,0,0,0,0.8,50.0,3
5,,SHEET,0,0.0,0,500,301,1.6,300.1,1
6,R,SHEET,0,0.0,0,0,762,0.8,610.0,1
7,R,SHEET,0,0.0,0,0,4170,1.6,610.0,2
8,A,SHEET,0,0.0,0,0,762,1.2,1250.0,2
9,A,SHEET,0,0.0,0,0,762,0.7,610.0,2
10,A,COIL,0,0.0,0,0,0,0.8,50.0,2
11,R,COIL,0,0.0,0,0,0,0.8,609.9,2
12,R,SHEET,0,0.0,0,0,881,1.601,831.9,1
13,R,SHEET,0,0.0,0,0,4170,0.7,609.9,2
14,A,COIL,0,0.0,0,0,0,4.0,385.1,2
15,,COIL,0,0.0,0,0,0,0.601,1320.0,2
16,,SHEET,0,0.0,0,0,762,0.301,1320.0,2
17,A,SHEET,0,0.0,0,0,3000,1.2,150.0,2
18,R,SHEET,0,0.0,0,0,4880,1.6,1320.0,2
19,,COIL,0,0.0,0,0,0,0.6,609.9,2
20,A,SHEET,0,0.0,0,0,3000,1.6,335.0,3
21,,SHEET,0,0.0,0,0,3000,0.5,335.0,3
22,R,SHEET,0,0.0,0,0,4880,0.6990000000000001,1320.0,2
23,A,SHEET,0,0.0,0,0,301,0.6990000000000001,1320.0,2
24,A,COIL,0,0.0,0,0,0,3.2,60.0,2
25,A,COIL,0,0.0,0,0,0,1.6,1320.0,2
26,,SHEET,0,0.0,0,0,762,1.6,1220.0,3
27,A,COIL,0,0.0,0,0,0,0.6,1320.0,2
28,V,SHEET,0,0.0,0,0,762,3.2,1320.0,2
29,,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
30,,SHEET,0,0.0,0,0,4880,3.2,1320.0,2
31,M,COIL,0,0.0,0,350,0,1.6,50.0,2
32,R,SHEET,0,0.0,0,0,4170,0.301,1220.0,2
33,K,COIL,600,55.0,55,0,0,3.2,640.0,2
34,R,SHEET,0,0.0,0,0,612,0.4,375.0,2
35,R,COIL,0,0.0,0,0,0,0.4,1320.0,2
36,S,SHEET,0,70.0,70,0,762,2.5,610.0,2
37,A,COIL,0,0.0,0,0,0,3.2,610.0,4
38,K,COIL,600,65.0,65,0,0,3.2,900.0,2
39,K,COIL,0,45.0,45,0,0,2.2,900.0,2
40,A,SHEET,0,0.0,0,0,4880,0.9990000000000001,1220.0,2
41,A,COIL,0,0.0,0,0,0,1.001,610.0,2
42,,SHEET,0,0.0,0,0,4880,0.3,610.0,2
43,R,SHEET,0,0.0,0,0,762,1.601,610.0,2
44,A,SHEET,0,0.0,0,0,4880,1.0,610.0,2
45,A,SHEET,0,0.0,0,0,762,0.9990000000000001,610.0,2
46,,SHEET,0,0.0,0,0,762,0.6990000000000001,0.0,2
47,R,COIL,0,0.0,0,500,0,1.6,610.0,2
48,R,SHEET,0,0.0,0,0,4880,0.4,1320.0,2
49,W,SHEET,0,0.0,0,310,762,0.8,610.0,2
50,,COIL,0,0.0,0,0,0,0.7,610.0,2
51,R,SHEET,0,0.0,0,0,762,0.601,610.0,2
52,A,COIL,0,0.0,0,0,0,2.0,1250.0,2
53,R,SHEET,0,0.0,0,0,761,0.6990000000000001,1320.0,2
54,A,COIL,0,0.0,0,0,0,0.6990000000000001,1320.0,2
55,A,SHEET,0,0.0,0,0,4170,0.7,609.9,2
56,R,SHEET,0,0.0,0,0,4880,0.601,609.0,2
57,M,SHEET,0,0.0,0,600,1220,0.9,1050.0,1
58,A,SHEET,0,0.0,0,0,762,0.7,1525.0,2
59,R,COIL,0,0.0,0,0,0,3.2,609.9,2
60,A,COIL,0,0.0,0,0,0,0.7,599.9,2
61,R,COIL,0,0.0,0,0,0,1.6,609.9,1
62,M,COIL,0,0.0,0,350,0,1.6,610.0,2
63,R,SHEET,0,0.0,0,0,612,1.2,375.0,2
64,A,COIL,0,8.0,8,0,0,3.2,609.9,2
65,,SHEET,0,0.0,0,0,4880,0.6990000000000001,1300.0,2
66,K,COIL,0,45.0,45,0,0,1.1,610.0,2
67,V,SHEET,0,0.0,0,0,762,0.8,609.9,1
68,A,COIL,0,0.0,0,0,0,0.3,1320.0,2
69,A,SHEET,0,0.0,0,0,4880,0.8,610.0,4
70,A,SHEET,0,0.0,0,0,0,0.6,520.0,2
71,A,SHEET,0,0.0,0,0,4170,1.6,1320.0,4
72,A,COIL,0,0.0,0,0,0,2.801,50.0,2
73,A,SHEET,0,0.0,0,0,762,3.2,1320.0,2
74,A,COIL,0,0.0,0,0,0,1.0,609.9,2
75,A,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
76,W,SHEET,0,0.0,0,310,762,1.599,610.0,2
77,,COIL,600,0.0,0,0,0,0.6,610.0,2
78,K,COIL,0,55.0,55,0,0,2.2,640.0,2
79,A,COIL,0,0.0,0,0,0,0.7,1320.0,2
80,A,SHEET,0,0.0,0,0,762,0.7,1220.0,2
81,R,SHEET,0,0.0,0,0,4880,1.599,610.0,1
82,,COIL,0,0.0,0,0,0,0.24,20.0,2
